Artist Name,Genre,Stage Location,Expected Audience Size,Actual Audience Size,Audience Engagement Score,Performance Duration,Setup Time,Tear Down Time,DateTime
The Algorithmics,Electronic,VIP Lounge,3649,8492,5,85,50,29,04/13/2022 12:56:06 AM
Bit Rate,Rock,DJ Tent,5370,3761,8,78,46,20,04/13/2022 07:18:14 AM
Neural Nets,Hip Hop,VIP Lounge,3120,5701,7,58,37,53,04/14/2022 09:29:07 AM
Parallel Processors,Electronic,Main Stage,5046,8428,3,57,43,23,04/16/2022 06:53:02 AM
Segmentation Fault,Electronic,Indie Arena,3486,7501,4,53,15,21,04/16/2022 12:36:13 PM
The Data Wranglers,Electronic,Indie Arena,6134,1969,2,107,54,20,04/18/2022 04:39:22 AM
Recursive Rhythms,Electronic,VIP Lounge,6781,1543,7,55,27,48,04/18/2022 05:59:53 PM
Syntax Error,Hip Hop,Main Stage,3175,7858,4,30,34,19,04/19/2022 07:25:45 AM
The Query Strings,Indie,Indie Arena,7338,1166,8,44,59,39,04/21/2022 02:27:38 AM
Cache Miss,Electronic,VIP Lounge,137,7603,7,43,47,25,04/21/2022 11:22:39 PM
Cache Miss,Hip Hop,DJ Tent,2205,9152,1,78,49,43,04/22/2022 07:10:31 PM
Infinite Loop,Hip Hop,VIP Lounge,3586,5644,3,70,37,45,04/24/2022 02:20:14 AM
Hello World,Electronic,Main Stage,8040,227,9,32,22,47,04/24/2022 09:08:36 PM
Bit Rate,Jazz,Indie Arena,7325,7280,8,36,35,19,04/26/2022 04:38:03 AM
Bit Rate,Rock,VIP Lounge,4756,1936,3,36,29,53,04/26/2022 08:09:34 PM
The Algorithmics,Rock,VIP Lounge,6578,7894,1,54,35,23,04/27/2022 06:02:42 PM
The Data Wranglers,Hip Hop,DJ Tent,2356,4806,9,84,45,44,04/28/2022 11:15:57 AM
The Data Wranglers,Electronic,Indie Arena,5304,3107,2,61,50,21,04/29/2022 10:24:31 PM
Cluster Funk,Hip Hop,DJ Tent,6819,2069,4,46,52,26,04/30/2022 04:52:10 PM
Infinite Loop,Indie,Main Stage,7056,4161,3,93,49,44,05/01/2022 05:06:30 PM
The Query Strings,Hip Hop,Main Stage,1477,3198,4,46,20,40,05/03/2022 06:59:09 AM
Epsilon Greedy,Electronic,Indie Arena,5135,6999,1,89,35,26,05/03/2022 08:43:40 PM
Recursive Rhythms,Electronic,VIP Lounge,8335,2703,9,91,21,58,05/05/2022 02:37:39 AM
Cluster Funk,Rock,VIP Lounge,848,7055,3,91,53,34,05/06/2022 04:04:37 AM
Syntax Error,Hip Hop,Indie Arena,2877,1856,1,119,52,18,05/06/2022 12:06:33 PM
Neural Nets,Jazz,Indie Arena,3602,4871,5,58,16,39,05/07/2022 12:01:09 PM
The Query Strings,Electronic,VIP Lounge,7198,9585,2,85,47,16,05/08/2022 06:26:18 PM
Parallel Processors,Electronic,Indie Arena,8937,8914,3,109,45,28,05/09/2022 08:05:53 PM
Bit Rate,Electronic,DJ Tent,1732,4471,3,50,36,16,05/11/2022 12:22:41 AM
Segmentation Fault,Electronic,Main Stage,2898,8515,3,40,22,37,05/11/2022 11:21:26 PM
Bit Rate,Hip Hop,Indie Arena,1340,8436,4,50,35,43,05/13/2022 01:47:52 AM
Parallel Processors,Indie,Indie Arena,2802,2683,9,115,43,39,05/13/2022 03:29:03 PM
Bit Rate,Indie,Indie Arena,3675,5741,2,99,15,46,05/15/2022 06:54:15 AM
The Data Wranglers,Jazz,Indie Arena,5041,9708,5,70,36,56,05/16/2022 04:03:19 AM
Random Forest,Jazz,DJ Tent,9847,8614,1,67,39,36,05/17/2022 04:56:55 AM
Random Forest,Electronic,DJ Tent,821,6242,3,79,16,26,05/17/2022 10:49:38 PM
Random Forest,Jazz,VIP Lounge,6905,4512,2,64,33,31,05/19/2022 01:06:40 AM
Segmentation Fault,Rock,Indie Arena,3942,2317,9,85,36,20,05/19/2022 08:00:08 AM
Neural Nets,Jazz,DJ Tent,224,2989,9,99,26,41,05/20/2022 10:55:21 PM
The Data Wranglers,Rock,Indie Arena,9188,5078,7,89,51,38,05/21/2022 08:55:28 PM
Bit Rate,Rock,VIP Lounge,2506,7081,5,98,44,50,05/22/2022 10:33:27 PM
Parallel Processors,Hip Hop,VIP Lounge,4292,9126,9,82,32,35,05/23/2022 04:12:45 PM
Epsilon Greedy,Electronic,VIP Lounge,8044,6597,4,48,18,26,05/25/2022 12:43:48 AM
Neural Nets,Jazz,Indie Arena,7836,9059,8,119,17,52,05/26/2022 03:21:10 AM
Cluster Funk,Electronic,Main Stage,1260,6017,3,84,33,18,05/26/2022 03:21:09 PM
Byte Beat,Hip Hop,Indie Arena,970,8272,2,97,30,25,05/27/2022 11:20:30 PM
Segmentation Fault,Indie,VIP Lounge,7363,761,5,72,42,28,05/28/2022 10:12:38 PM
Segmentation Fault,Electronic,Indie Arena,9871,628,4,30,59,54,05/29/2022 01:20:40 PM
The Query Strings,Jazz,Main Stage,204,4646,5,112,19,54,05/30/2022 02:08:44 PM
Recursive Rhythms,Electronic,Indie Arena,2679,9593,7,52,16,53,06/01/2022 06:48:32 AM
Random Forest,Hip Hop,DJ Tent,9320,8019,9,43,39,47,06/01/2022 12:46:57 PM
Random Forest,Jazz,VIP Lounge,436,3084,8,62,54,54,06/02/2022 12:36:09 PM
Cache Miss,Electronic,DJ Tent,6367,9329,1,52,46,19,06/03/2022 11:26:34 PM
The Query Strings,Hip Hop,VIP Lounge,4658,6596,4,100,38,18,06/05/2022 03:19:54 AM
The Data Wranglers,Electronic,Indie Arena,6762,3858,5,93,21,32,06/05/2022 01:48:13 PM
Hello World,Jazz,Main Stage,6507,8004,5,95,42,20,06/06/2022 11:41:19 PM
Epsilon Greedy,Rock,Main Stage,3791,6284,6,100,47,23,06/08/2022 01:16:56 AM
Byte Beat,Hip Hop,DJ Tent,611,4052,9,114,53,32,06/09/2022 06:12:20 AM
Hello World,Rock,Indie Arena,4608,1394,5,54,51,39,06/09/2022 08:43:05 AM
Cache Miss,Rock,DJ Tent,1403,8492,1,67,41,32,06/11/2022 06:36:04 AM
Syntax Error,Jazz,Main Stage,3026,1945,3,62,35,54,06/12/2022 06:11:59 AM
Syntax Error,Jazz,Main Stage,7203,6547,1,57,38,44,06/12/2022 01:45:32 PM
The Algorithmics,Jazz,VIP Lounge,8603,7266,3,51,33,52,06/13/2022 08:16:22 PM
Cache Miss,Rock,Main Stage,9200,6438,2,63,33,55,06/14/2022 11:53:53 PM
Recursive Rhythms,Jazz,Main Stage,8364,7433,7,62,32,32,06/15/2022 07:51:47 AM
The Query Strings,Rock,VIP Lounge,8516,9366,6,63,57,46,06/17/2022 03:38:44 AM
The Algorithmics,Rock,DJ Tent,8712,5182,2,88,59,31,06/17/2022 11:55:00 PM
Infinite Loop,Jazz,DJ Tent,6921,8304,3,85,22,52,06/19/2022 06:39:57 AM
Neural Nets,Indie,Main Stage,6450,9598,4,58,19,38,06/19/2022 08:16:53 PM
Byte Beat,Hip Hop,VIP Lounge,1471,7233,8,53,24,59,06/20/2022 09:52:44 PM
Segmentation Fault,Rock,Indie Arena,6522,8463,6,46,58,22,06/21/2022 02:25:50 PM
Hello World,Electronic,VIP Lounge,6963,2292,2,93,31,15,06/23/2022 06:09:41 AM
The Data Wranglers,Electronic,VIP Lounge,3584,1486,2,107,34,46,06/23/2022 10:30:48 PM
The Algorithmics,Hip Hop,VIP Lounge,7029,2655,5,82,28,44,06/24/2022 07:43:38 AM
Epsilon Greedy,Rock,DJ Tent,5572,8559,4,68,38,17,06/25/2022 11:59:19 PM
Hello World,Rock,Indie Arena,8671,3699,1,81,17,24,06/26/2022 03:19:26 PM
Epsilon Greedy,Indie,Main Stage,1784,842,2,103,31,21,06/27/2022 09:35:54 AM
Cluster Funk,Indie,Indie Arena,7660,195,9,100,16,52,06/28/2022 11:25:34 PM
Epsilon Greedy,Hip Hop,DJ Tent,8494,9426,8,33,59,23,06/30/2022 05:00:29 AM
Segmentation Fault,Rock,Main Stage,6217,2261,3,32,46,59,07/01/2022 12:39:54 AM
Byte Beat,Indie,Indie Arena,8525,7957,8,70,57,58,07/01/2022 08:05:57 AM
