DateTime,Artist Name,Genre,Stage Location,Expected Audience Size,Actual Audience Size,Audience Engagement Score,Performance Duration,Setup Time,Tear Down Time
4/25/2024 9:52:42 AM,Byte Beat,Electronic,Main Stage,4986,4986,5,113,17,16
6/17/2023 7:05:40 AM,Recursive Rhythms,Indie,VIP Lounge,4035,4035,5,79,22,31
4/2/2024 8:36:44 AM,Cache Miss,Jazz,Indie Arena,4719,2372,2,77,52,59
7/26/2023 11:48:14 AM,The Query Strings,Hip Hop,Main Stage,5291,5291,3,107,18,51
8/1/2023 5:45:45 AM,The Algorithmics,Indie,VIP Lounge,6975,1911,9,59,26,56
7/19/2023 9:48:08 PM,Syntax Error,Electronic,Main Stage,7956,6670,7,58,58,58
4/26/2023 2:06:41 PM,Cache Miss,Indie,VIP Lounge,5501,4097,1,37,45,31
2/16/2024 10:22:15 PM,Cache Miss,Rock,Indie Arena,3122,3122,3,41,39,52
1/5/2024 6:04:56 PM,Recursive Rhythms,Electronic,DJ Tent,5838,5838,2,70,30,49
6/28/2023 2:37:03 PM,Byte Beat,Rock,DJ Tent,6084,1148,1,55,56,53
11/21/2023 6:08:37 AM,The Data Wranglers,Electronic,Main Stage,1870,1870,9,79,28,44
10/26/2023 10:41:54 PM,Random Forest,Indie,Indie Arena,9089,1784,8,31,27,20
6/25/2023 10:04:52 PM,Syntax Error,Jazz,DJ Tent,3315,3315,5,84,55,18
4/5/2024 2:46:38 PM,Infinite Loop,Hip Hop,VIP Lounge,6794,5959,2,85,21,51
10/29/2023 12:55:06 PM,Segmentation Fault,Rock,DJ Tent,3076,3076,1,43,26,49
4/12/2024 12:27:49 PM,The Algorithmics,Indie,Main Stage,3837,3837,7,35,51,23
1/21/2024 8:43:06 AM,Recursive Rhythms,Jazz,Main Stage,852,852,2,110,18,20
9/20/2023 11:23:55 PM,Cache Miss,Indie,Indie Arena,1492,730,1,118,16,27
9/1/2023 11:16:04 PM,Syntax Error,Rock,Main Stage,6889,6889,2,90,49,36
8/31/2023 9:35:01 AM,The Algorithmics,Hip Hop,DJ Tent,777,777,7,41,58,42
