Date,Artist Name,Song Title,Streaming Numbers,Social Media Mentions,Likes and Shares,Concert Attendance
2023-10-14 05:12:09.995013,Pixelated Poets,Love in the Time of Data,42328,704,2540,4112
2023-10-14 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,43429,843,5746,922
2023-10-14 05:12:09.995013,Pixelated Poets,Cache in My Heart,40834,442,6624,179
2023-10-14 05:12:09.995013,Pixelated Poets,404 Love Not Found,46845,1190,745,1894
2023-10-14 05:12:09.995013,Pixelated Poets,Syncing Low,40906,1906,1827,3554
2023-10-14 05:12:09.995013,Binary Beats,Love in the Time of Data,41024,1482,6725,2811
2023-10-14 05:12:09.995013,Binary Beats,Byte-Sized Affections,35022,1314,660,380
2023-10-14 05:12:09.995013,Binary Beats,Cache in My Heart,44660,971,1459,2255
2023-10-14 05:12:09.995013,Binary Beats,404 Love Not Found,45955,1417,766,1157
2023-10-14 05:12:09.995013,Binary Beats,Syncing Low,7006,244,9042,3238
2023-10-14 05:12:09.995013,Circuit Serenade,Love in the Time of Data,45604,106,2862,2146
2023-10-14 05:12:09.995013,Circuit Serenade,Byte-Sized Affections,29462,802,4004,321
2023-10-14 05:12:09.995013,Circuit Serenade,Cache in My Heart,21583,1440,9603,4864
2023-10-14 05:12:09.995013,Circuit Serenade,404 Love Not Found,8252,887,7765,4954
2023-10-14 05:12:09.995013,Circuit Serenade,Syncing Low,30079,329,4455,4012
2023-10-14 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,4905,730,6198,1101
2023-10-14 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,12232,334,6942,1485
2023-10-14 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,49223,715,7827,915
2023-10-14 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,19869,575,587,3558
2023-10-14 05:12:09.995013,Algorithmic Symphony,Syncing Low,25092,914,3488,1947
2023-10-14 05:12:09.995013,Digital Dreamers,Love in the Time of Data,34509,348,6526,1055
2023-10-14 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,49621,1282,1367,1915
2023-10-14 05:12:09.995013,Digital Dreamers,Cache in My Heart,12728,979,9186,467
2023-10-14 05:12:09.995013,Digital Dreamers,404 Love Not Found,34972,229,4693,749
2023-10-14 05:12:09.995013,Digital Dreamers,Syncing Low,2313,938,2299,4091
2023-10-15 05:12:09.995013,Pixelated Poets,Love in the Time of Data,21788,1885,1686,4066
2023-10-15 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,18619,1491,4669,1486
2023-10-15 05:12:09.995013,Pixelated Poets,Cache in My Heart,18902,148,2591,533
2023-10-15 05:12:09.995013,Pixelated Poets,404 Love Not Found,33518,1909,4542,437
2023-10-15 05:12:09.995013,Pixelated Poets,Syncing Low,5243,1169,3320,1332
2023-10-15 05:12:09.995013,Binary Beats,Love in the Time of Data,29501,247,2195,2545
2023-10-15 05:12:09.995013,Binary Beats,Byte-Sized Affections,27085,1065,6923,174
2023-10-15 05:12:09.995013,Binary Beats,Cache in My Heart,9687,1610,3870,1208
2023-10-15 05:12:09.995013,Binary Beats,404 Love Not Found,43434,348,4191,4139
2023-10-15 05:12:09.995013,Binary Beats,Syncing Low,38191,1653,9245,2356
2023-10-15 05:12:09.995013,Circuit Serenade,Love in the Time of Data,37028,1573,7941,3705
2023-10-15 05:12:09.995013,Circuit Serenade,Byte-Sized Affections,7134,1751,1189,1530
2023-10-15 05:12:09.995013,Circuit Serenade,Cache in My Heart,9024,1465,3075,1573
2023-10-15 05:12:09.995013,Circuit Serenade,404 Love Not Found,14694,1117,2340,3971
2023-10-15 05:12:09.995013,Circuit Serenade,Syncing Low,37432,1765,1821,3599
2023-10-15 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,29144,838,5537,756
2023-10-15 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,30180,1068,7178,4877
2023-10-15 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,43367,1982,8285,4921
2023-10-15 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,35088,1760,532,4288
2023-10-15 05:12:09.995013,Algorithmic Symphony,Syncing Low,14148,616,9461,3990
2023-10-15 05:12:09.995013,Digital Dreamers,Love in the Time of Data,41557,342,2166,2627
2023-10-15 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,9566,1734,8904,433
2023-10-15 05:12:09.995013,Digital Dreamers,Cache in My Heart,27888,1739,9857,715
2023-10-15 05:12:09.995013,Digital Dreamers,404 Love Not Found,30424,700,2056,933
2023-10-15 05:12:09.995013,Digital Dreamers,Syncing Low,14260,1068,7480,2524
2023-10-16 05:12:09.995013,Pixelated Poets,Love in the Time of Data,33251,592,9914,3783
2023-10-16 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,42776,965,7545,3285
2023-10-16 05:12:09.995013,Pixelated Poets,Cache in My Heart,37100,885,3196,340
2023-10-16 05:12:09.995013,Pixelated Poets,404 Love Not Found,38928,986,6254,4917
2023-10-16 05:12:09.995013,Pixelated Poets,Syncing Low,49289,1021,5829,2045
2023-10-16 05:12:09.995013,Binary Beats,Love in the Time of Data,21493,957,3145,4573
2023-10-16 05:12:09.995013,Binary Beats,Byte-Sized Affections,15795,1615,3998,2655
2023-10-16 05:12:09.995013,Binary Beats,Cache in My Heart,5815,1269,4907,3495
2023-10-16 05:12:09.995013,Binary Beats,404 Love Not Found,12838,1019,7114,3088
2023-10-16 05:12:09.995013,Binary Beats,Syncing Low,41239,1319,637,1544
2023-10-16 05:12:09.995013,Circuit Serenade,Love in the Time of Data,27282,1019,1831,2558
2023-10-16 05:12:09.995013,Circuit Serenade,Byte-Sized Affections,8851,521,7746,2921
2023-10-16 05:12:09.995013,Circuit Serenade,Cache in My Heart,34717,213,1824,297
2023-10-16 05:12:09.995013,Circuit Serenade,404 Love Not Found,20550,1163,4671,2130
2023-10-16 05:12:09.995013,Circuit Serenade,Syncing Low,32729,1203,9178,2411
2023-10-16 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,26981,1792,9823,1522
2023-10-16 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,19690,893,2710,4016
2023-10-16 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,45740,1792,7716,1839
2023-10-16 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,49861,1133,8811,4969
2023-10-16 05:12:09.995013,Algorithmic Symphony,Syncing Low,34034,1107,2811,123
2023-10-16 05:12:09.995013,Digital Dreamers,Love in the Time of Data,49807,1430,6055,3812
2023-10-16 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,49300,135,7980,2781
2023-10-16 05:12:09.995013,Digital Dreamers,Cache in My Heart,13992,666,3079,3670
2023-10-16 05:12:09.995013,Digital Dreamers,404 Love Not Found,35676,556,1445,3228
2023-10-16 05:12:09.995013,Digital Dreamers,Syncing Low,35552,1882,1530,3378
2023-10-17 05:12:09.995013,Pixelated Poets,Love in the Time of Data,27427,562,9064,3733
2023-10-17 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,24441,834,4804,4217
2023-10-17 05:12:09.995013,Pixelated Poets,Cache in My Heart,45748,1013,8443,4990
2023-10-17 05:12:09.995013,Pixelated Poets,404 Love Not Found,6105,357,3726,4633
2023-10-17 05:12:09.995013,Pixelated Poets,Syncing Low,16478,176,5074,915
2023-10-17 05:12:09.995013,Binary Beats,Love in the Time of Data,24804,1412,602,3540
2023-10-17 05:12:09.995013,Binary Beats,Byte-Sized Affections,24603,596,1032,1646
2023-10-17 05:12:09.995013,Binary Beats,Cache in My Heart,38642,791,9061,486
2023-10-17 05:12:09.995013,Binary Beats,404 Love Not Found,5446,1529,8329,1447
2023-10-17 05:12:09.995013,Binary Beats,Syncing Low,36531,336,5937,921
2023-10-17 05:12:09.995013,Circuit Serenade,Love in the Time of Data,37343,904,7001,1025
2023-10-17 05:12:09.995013,Circuit Serenade,Byte-Sized Affections,41102,289,9586,2172
2023-10-17 05:12:09.995013,Circuit Serenade,Cache in My Heart,32014,1993,7679,4930
2023-10-17 05:12:09.995013,Circuit Serenade,404 Love Not Found,22614,1158,2864,3495
2023-10-17 05:12:09.995013,Circuit Serenade,Syncing Low,48156,1157,7125,3467
2023-10-17 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,11186,1534,6721,3345
2023-10-17 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,47380,1522,2439,2158
2023-10-17 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,26971,1741,6413,4962
2023-10-17 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,30742,819,9461,2447
2023-10-17 05:12:09.995013,Algorithmic Symphony,Syncing Low,1926,114,9927,1292
2023-10-17 05:12:09.995013,Digital Dreamers,Love in the Time of Data,16945,298,3889,1701
2023-10-17 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,22893,1035,4817,1705
2023-10-17 05:12:09.995013,Digital Dreamers,Cache in My Heart,22700,319,1547,3795
2023-10-17 05:12:09.995013,Digital Dreamers,404 Love Not Found,29721,816,6866,2275
2023-10-17 05:12:09.995013,Digital Dreamers,Syncing Low,44023,481,8854,3503
2023-10-18 05:12:09.995013,Pixelated Poets,Love in the Time of Data,33332,1593,9311,1537
2023-10-18 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,7411,1086,4624,2683
2023-10-18 05:12:09.995013,Pixelated Poets,Cache in My Heart,26757,1808,4051,4720
2023-10-18 05:12:09.995013,Pixelated Poets,404 Love Not Found,47366,870,9933,4711
2023-10-18 05:12:09.995013,Pixelated Poets,Syncing Low,7142,1596,6559,4209
2023-10-18 05:12:09.995013,Binary Beats,Love in the Time of Data,33835,1119,1111,3370
2023-10-18 05:12:09.995013,Binary Beats,Byte-Sized Affections,40730,1477,1202,2646
2023-10-18 05:12:09.995013,Binary Beats,Cache in My Heart,19440,1021,1137,2428
2023-10-18 05:12:09.995013,Binary Beats,404 Love Not Found,49384,731,6427,3580
2023-10-18 05:12:09.995013,Binary Beats,Syncing Low,43019,1932,7689,3064
2023-10-18 05:12:09.995013,Circuit Serenade,Love in the Time of Data,19748,1768,8122,2103
2023-10-18 05:12:09.995013,Circuit Serenade,Byte-Sized Affections,4754,663,5543,2534
2023-10-18 05:12:09.995013,Circuit Serenade,Cache in My Heart,10661,891,7001,2825
2023-10-18 05:12:09.995013,Circuit Serenade,404 Love Not Found,11760,363,5366,1803
2023-10-18 05:12:09.995013,Circuit Serenade,Syncing Low,42946,1586,5954,3927
2023-10-18 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,18957,1165,7974,1148
2023-10-18 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,8747,916,5163,1140
2023-10-18 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,39693,730,5143,944
2023-10-18 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,15626,1676,539,2791
2023-10-18 05:12:09.995013,Algorithmic Symphony,Syncing Low,47635,314,1753,3962
2023-10-18 05:12:09.995013,Digital Dreamers,Love in the Time of Data,33051,476,833,3448
2023-10-18 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,25980,1637,1936,1948
2023-10-18 05:12:09.995013,Digital Dreamers,Cache in My Heart,32058,1697,3941,3123
2023-10-18 05:12:09.995013,Digital Dreamers,404 Love Not Found,16752,1700,8278,1180
2023-10-18 05:12:09.995013,Digital Dreamers,Syncing Low,24029,666,2681,2208
2023-10-19 05:12:09.995013,Pixelated Poets,Love in the Time of Data,10397,1989,3720,1167
2023-10-19 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,30851,625,2438,617
2023-10-19 05:12:09.995013,Pixelated Poets,Cache in My Heart,30652,497,3295,4023
2023-10-19 05:12:09.995013,Pixelated Poets,404 Love Not Found,19631,1958,5099,1285
2023-10-19 05:12:09.995013,Pixelated Poets,Syncing Low,29158,1471,2710,3428
2023-10-19 05:12:09.995013,Binary Beats,Love in the Time of Data,49997,599,1436,4166
2023-10-19 05:12:09.995013,Binary Beats,Byte-Sized Affections,2149,1990,6511,3364
2023-10-19 05:12:09.995013,Binary Beats,Cache in My Heart,19488,1676,2808,3744
2023-10-19 05:12:09.995013,Binary Beats,404 Love Not Found,28271,1060,1117,4119
2023-10-19 05:12:09.995013,Binary Beats,Syncing Low,15861,339,5542,2288
2023-10-19 05:12:09.995013,Circuit Serenade,Love in the Time of Data,11211,1644,7627,4802
2023-10-19 05:12:09.995013,Circuit Serenade,Byte-Sized Affections,11808,172,3241,1863
2023-10-19 05:12:09.995013,Circuit Serenade,Cache in My Heart,46256,471,2534,3430
2023-10-19 05:12:09.995013,Circuit Serenade,404 Love Not Found,43451,1292,9354,2040
2023-10-19 05:12:09.995013,Circuit Serenade,Syncing Low,22900,997,2920,2610
2023-10-19 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,15684,452,2833,1548
2023-10-19 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,49647,1086,2420,3219
2023-10-19 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,24365,490,2656,1641
2023-10-19 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,36752,529,2605,788
2023-10-19 05:12:09.995013,Algorithmic Symphony,Syncing Low,4205,324,3910,2541
2023-10-19 05:12:09.995013,Digital Dreamers,Love in the Time of Data,20990,315,5727,2688
2023-10-19 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,48710,594,8500,3882
2023-10-19 05:12:09.995013,Digital Dreamers,Cache in My Heart,35959,215,1979,4462
2023-10-19 05:12:09.995013,Digital Dreamers,404 Love Not Found,12347,368,2937,2454
2023-10-19 05:12:09.995013,Digital Dreamers,Syncing Low,4377,1904,543,3975
2023-10-20 05:12:09.995013,Pixelated Poets,Love in the Time of Data,14775,234,3891,2462
2023-10-20 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,23942,1596,8253,2527
2023-10-20 05:12:09.995013,Pixelated Poets,Cache in My Heart,41995,1836,4573,1444
2023-10-20 05:12:09.995013,Pixelated Poets,404 Love Not Found,43964,469,6675,3625
2023-10-20 05:12:09.995013,Pixelated Poets,Syncing Low,17194,1684,9762,4454
2023-10-20 05:12:09.995013,Binary Beats,Love in the Time of Data,41146,1351,9499,2479
2023-10-20 05:12:09.995013,Binary Beats,Byte-Sized Affections,35785,1287,7967,2748
2023-10-20 05:12:09.995013,Binary Beats,Cache in My Heart,9072,1511,3675,2085
2023-10-20 05:12:09.995013,Binary Beats,404 Love Not Found,49931,615,9279,4055
2023-10-20 05:12:09.995013,Binary Beats,Syncing Low,24690,864,3967,2310
2023-10-20 05:12:09.995013,Circuit Serenade,Love in the Time of Data,5794,631,5051,3681
2023-10-20 05:12:09.995013,Circuit Serenade,Byte-Sized Affections,44909,500,7465,4120
2023-10-20 05:12:09.995013,Circuit Serenade,Cache in My Heart,25229,1976,7209,3810
2023-10-20 05:12:09.995013,Circuit Serenade,404 Love Not Found,27996,1592,6428,94
2023-10-20 05:12:09.995013,Circuit Serenade,Syncing Low,44860,1721,9475,460
2023-10-20 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,15115,359,2988,2470
2023-10-20 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,26814,1411,7924,2863
2023-10-20 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,16615,1351,3354,2997
2023-10-20 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,21820,274,9582,1390
2023-10-20 05:12:09.995013,Algorithmic Symphony,Syncing Low,30803,1252,6093,1091
2023-10-20 05:12:09.995013,Digital Dreamers,Love in the Time of Data,1651,1369,9986,3467
2023-10-20 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,31540,1405,6808,1001
2023-10-20 05:12:09.995013,Digital Dreamers,Cache in My Heart,34234,526,1148,1668
2023-10-20 05:12:09.995013,Digital Dreamers,404 Love Not Found,37670,1614,5825,2612
2023-10-20 05:12:09.995013,Digital Dreamers,Syncing Low,45484,1540,3957,4641
2023-10-21 05:12:09.995013,Pixelated Poets,Love in the Time of Data,36647,1553,932,4327
2023-10-21 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,18360,462,1818,1052
2023-10-21 05:12:09.995013,Pixelated Poets,Cache in My Heart,17219,1194,6039,4578
2023-10-21 05:12:09.995013,Pixelated Poets,404 Love Not Found,3658,427,5340,4846
2023-10-21 05:12:09.995013,Pixelated Poets,Syncing Low,1217,719,4784,4353
2023-10-21 05:12:09.995013,Binary Beats,Love in the Time of Data,22863,331,3932,4848
2023-10-21 05:12:09.995013,Binary Beats,Byte-Sized Affections,17036,362,9863,2829
2023-10-21 05:12:09.995013,Binary Beats,Cache in My Heart,46859,235,4405,3929
2023-10-21 05:12:09.995013,Binary Beats,404 Love Not Found,5926,1614,9152,3634
2023-10-21 05:12:09.995013,Binary Beats,Syncing Low,28289,516,2405,1618
2023-10-21 05:12:09.995013,Circuit Serenade,Love in the Time of Data,36089,564,1591,4211
2023-10-21 05:12:09.995013,Circuit Serenade,Byte-Sized Affections,1706,1309,3672,1636
2023-10-21 05:12:09.995013,Circuit Serenade,Cache in My Heart,31551,1929,9981,191
2023-10-21 05:12:09.995013,Circuit Serenade,404 Love Not Found,24266,447,5542,1296
2023-10-21 05:12:09.995013,Circuit Serenade,Syncing Low,23993,1486,8487,3681
2023-10-21 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,9398,414,1380,1722
2023-10-21 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,45787,110,4208,2268
2023-10-21 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,31580,1907,5557,2446
2023-10-21 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,43681,611,8599,3023
2023-10-21 05:12:09.995013,Algorithmic Symphony,Syncing Low,43361,1492,515,802
2023-10-21 05:12:09.995013,Digital Dreamers,Love in the Time of Data,11042,1831,4225,3579
2023-10-21 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,30525,1096,2547,3781
2023-10-21 05:12:09.995013,Digital Dreamers,Cache in My Heart,27643,1504,2451,3787
2023-10-21 05:12:09.995013,Digital Dreamers,404 Love Not Found,13890,1906,4698,2492
2023-10-21 05:12:09.995013,Digital Dreamers,Syncing Low,29074,875,2025,3459
2023-10-22 05:12:09.995013,Pixelated Poets,Love in the Time of Data,10278,1327,5942,4568
2023-10-22 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,27612,481,8078,1052
2023-10-22 05:12:09.995013,Pixelated Poets,Cache in My Heart,5571,656,8564,3527
2023-10-22 05:12:09.995013,Pixelated Poets,404 Love Not Found,8562,508,3692,1072
2023-10-22 05:12:09.995013,Pixelated Poets,Syncing Low,39114,1669,4454,697
2023-10-22 05:12:09.995013,Binary Beats,Love in the Time of Data,19775,326,2581,4332
2023-10-22 05:12:09.995013,Binary Beats,Byte-Sized Affections,28995,1955,1630,110
2023-10-22 05:12:09.995013,Binary Beats,Cache in My Heart,11400,857,7485,479
2023-10-22 05:12:09.995013,Binary Beats,404 Love Not Found,27716,1174,9899,4172
2023-10-22 05:12:09.995013,Binary Beats,Syncing Low,17033,983,2952,828
2023-10-22 05:12:09.995013,Circuit Serenade,Love in the Time of Data,28740,1006,2141,4654
2023-10-22 05:12:09.995013,Circuit Serenade,Byte-Sized Affections,37432,492,1448,765
2023-10-22 05:12:09.995013,Circuit Serenade,Cache in My Heart,16583,946,9103,827
2023-10-22 05:12:09.995013,Circuit Serenade,404 Love Not Found,28756,1340,6599,1819
2023-10-22 05:12:09.995013,Circuit Serenade,Syncing Low,44988,496,8020,2363
2023-10-22 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,3295,942,9908,424
2023-10-22 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,36187,1415,726,1720
2023-10-22 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,49903,1386,8461,1329
2023-10-22 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,40986,971,5397,4510
2023-10-22 05:12:09.995013,Algorithmic Symphony,Syncing Low,15641,1679,4422,416
2023-10-22 05:12:09.995013,Digital Dreamers,Love in the Time of Data,36288,1978,5823,2144
2023-10-22 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,29127,1635,7155,3925
2023-10-22 05:12:09.995013,Digital Dreamers,Cache in My Heart,11297,615,686,3202
2023-10-22 05:12:09.995013,Digital Dreamers,404 Love Not Found,15947,283,8631,2148
2023-10-22 05:12:09.995013,Digital Dreamers,Syncing Low,42468,311,1152,4637
2023-10-23 05:12:09.995013,Pixelated Poets,Love in the Time of Data,35286,1249,7345,4883
2023-10-23 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,39732,1041,4666,4112
2023-10-23 05:12:09.995013,Pixelated Poets,Cache in My Heart,40807,859,5170,1009
