Date,Artist Name,Song Title,Streaming Numbers,Social Media Mentions,Likes and Shares,Concert Attendance
2022-10-14 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,11563,354,8386,3748
2022-10-15 05:12:09.995013,Pixelated Poets,Cache in My Heart,33711,1456,2042,2417
2022-10-16 05:12:09.995013,Pixelated Poets,Love in the Time of Data,4623,1245,8158,4829
2022-10-17 05:12:09.995013,Digital Dreamers,Cache in My Heart,1891,1148,4857,3574
2022-10-18 05:12:09.995013,Pixelated Poets,Love in the Time of Data,40564,1427,3018,2244
2022-10-19 05:12:09.995013,Binary Beats,404 Love Not Found,6540,342,7385,597
2022-10-20 05:12:09.995013,Circuit Serenade,404 Love Not Found,36641,1336,7121,423
2022-10-21 05:12:09.995013,Binary Beats,Love in the Time of Data,27659,1460,6889,169
2022-10-22 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,17360,1723,3687,1364
2022-10-23 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,21305,342,2597,4307
2022-10-24 05:12:09.995013,Circuit Serenade,404 Love Not Found,45930,1589,6471,4143
2022-10-25 05:12:09.995013,Binary Beats,404 Love Not Found,45584,906,5395,2016
2022-10-26 05:12:09.995013,Binary Beats,404 Love Not Found,24030,1065,8069,889
2022-10-27 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,17109,231,5430,4889
2022-10-28 05:12:09.995013,Digital Dreamers,Syncing Low,43995,1127,1504,4773
2022-10-29 05:12:09.995013,Digital Dreamers,Byte-Sized Affections,2930,336,508,4372
2022-10-30 05:12:09.995013,Circuit Serenade,Cache in My Heart,7725,229,6441,3045
2022-10-31 05:12:09.995013,Digital Dreamers,Syncing Low,6455,1814,1964,2626
2022-11-01 05:12:09.995013,Digital Dreamers,Syncing Low,38117,1249,5081,1424
2022-11-02 05:12:09.995013,Binary Beats,Byte-Sized Affections,37320,1895,4814,4804
2022-11-03 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,43604,1205,7278,929
2022-11-04 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,7518,679,4406,3078
2022-11-05 05:12:09.995013,Pixelated Poets,Cache in My Heart,14036,1433,1699,1320
2022-11-06 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,20876,1303,7896,2770
2022-11-07 05:12:09.995013,Algorithmic Symphony,Syncing Low,33671,1182,7949,2593
2022-11-08 05:12:09.995013,Digital Dreamers,Cache in My Heart,25688,759,5314,2565
2022-11-09 05:12:09.995013,Pixelated Poets,Syncing Low,35808,689,7681,4817
2022-11-10 05:12:09.995013,Pixelated Poets,Cache in My Heart,6579,765,642,2288
2022-11-11 05:12:09.995013,Digital Dreamers,Love in the Time of Data,24794,1068,9908,4624
2022-11-12 05:12:09.995013,Pixelated Poets,Syncing Low,8917,747,2669,3908
2022-11-13 05:12:09.995013,Binary Beats,404 Love Not Found,27662,1679,2536,951
2022-11-14 05:12:09.995013,Circuit Serenade,Love in the Time of Data,43555,401,5096,947
2022-11-15 05:12:09.995013,Pixelated Poets,Love in the Time of Data,10336,1309,7309,4696
2022-11-16 05:12:09.995013,Binary Beats,Love in the Time of Data,15808,1248,2556,1608
2022-11-17 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,40388,1331,4736,4818
2022-11-18 05:12:09.995013,Digital Dreamers,Love in the Time of Data,38891,207,891,3520
2022-11-19 05:12:09.995013,Pixelated Poets,Cache in My Heart,49174,1720,3207,2338
2022-11-20 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,49747,1090,5109,2900
2022-11-21 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,17598,745,4976,4417
2022-11-22 05:12:09.995013,Circuit Serenade,404 Love Not Found,10087,1277,6956,1476
2022-11-23 05:12:09.995013,Digital Dreamers,Love in the Time of Data,42345,1677,8725,120
2022-11-24 05:12:09.995013,Pixelated Poets,404 Love Not Found,25894,1430,8462,588
2022-11-25 05:12:09.995013,Algorithmic Symphony,Syncing Low,12590,1132,6724,3099
2022-11-26 05:12:09.995013,Binary Beats,Love in the Time of Data,36206,1387,5268,1825
2022-11-27 05:12:09.995013,Circuit Serenade,Love in the Time of Data,9632,1022,3929,779
2022-11-28 05:12:09.995013,Pixelated Poets,Cache in My Heart,20469,880,5579,2695
2022-11-29 05:12:09.995013,Pixelated Poets,Syncing Low,23482,877,4363,4261
2022-11-30 05:12:09.995013,Circuit Serenade,404 Love Not Found,11615,1743,4137,2263
2022-12-01 05:12:09.995013,Binary Beats,Syncing Low,33600,1780,3018,4166
2022-12-02 05:12:09.995013,Circuit Serenade,404 Love Not Found,5680,1366,7231,2238
2022-12-03 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,32217,982,1978,3572
2022-12-04 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,5756,880,2693,1006
2022-12-05 05:12:09.995013,Digital Dreamers,Love in the Time of Data,45924,1369,9931,4976
2022-12-06 05:12:09.995013,Digital Dreamers,Cache in My Heart,33865,1557,2850,2626
2022-12-07 05:12:09.995013,Binary Beats,Syncing Low,37125,1853,1255,2376
2022-12-08 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,21250,1668,1475,1389
2022-12-09 05:12:09.995013,Circuit Serenade,Love in the Time of Data,28844,1972,7503,4334
2022-12-10 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,3543,1621,3025,1882
2022-12-11 05:12:09.995013,Binary Beats,Syncing Low,29154,1052,6386,629
2022-12-12 05:12:09.995013,Pixelated Poets,Syncing Low,7528,1540,9589,1584
2022-12-13 05:12:09.995013,Digital Dreamers,Cache in My Heart,24114,1190,3374,4055
2022-12-14 05:12:09.995013,Algorithmic Symphony,404 Love Not Found,49113,1615,8647,4436
2022-12-15 05:12:09.995013,Digital Dreamers,Syncing Low,29505,977,7409,3977
2022-12-16 05:12:09.995013,Binary Beats,Byte-Sized Affections,38690,817,3026,1973
2022-12-17 05:12:09.995013,Binary Beats,404 Love Not Found,1769,649,9113,2236
2022-12-18 05:12:09.995013,Circuit Serenade,Syncing Low,9704,1123,5866,3350
2022-12-19 05:12:09.995013,Algorithmic Symphony,Love in the Time of Data,47271,733,1745,1014
2022-12-20 05:12:09.995013,Binary Beats,Cache in My Heart,16428,1144,7600,1464
2022-12-21 05:12:09.995013,Pixelated Poets,404 Love Not Found,22848,1896,7383,3566
2022-12-22 05:12:09.995013,Binary Beats,Byte-Sized Affections,29410,1300,2072,1686
2022-12-23 05:12:09.995013,Algorithmic Symphony,Cache in My Heart,23533,126,4912,93
2022-12-24 05:12:09.995013,Binary Beats,Love in the Time of Data,15595,789,8565,1629
2022-12-25 05:12:09.995013,Pixelated Poets,Syncing Low,29860,1567,7714,4151
2022-12-26 05:12:09.995013,Pixelated Poets,Byte-Sized Affections,6869,1440,6662,2146
2022-12-27 05:12:09.995013,Algorithmic Symphony,Byte-Sized Affections,15722,1177,6445,4473
2022-12-28 05:12:09.995013,Binary Beats,Love in the Time of Data,5138,508,1118,3642
2022-12-29 05:12:09.995013,Circuit Serenade,Love in the Time of Data,1073,1187,9760,436
2022-12-30 05:12:09.995013,Circuit Serenade,404 Love Not Found,41073,999,9677,825
2022-12-31 05:12:09.995013,Pixelated Poets,404 Love Not Found,36412,1758,2301,3934
