Date,Event Name,Ticket Type,Attendee Age,Attendee Gender,Transportation Mode,Accommodation Type,Ticket Price,Tickets Sold
2022-10-14 05:12:09.995013,ElectroBeat Expo,Group Discount,Over 55,Female,Walk,Camping,132,219
2022-10-15 05:12:09.995013,RockNRebel Music Fest,VIP,Under 18,Non-binary,Bike,Stay with Friends/Family,133,413
2022-10-16 05:12:09.995013,RockNRebel Music Fest,General Admission,26-35,Non-binary,Bike,Camping,191,170
2022-10-17 05:12:09.995013,Cosmic Sound Festival,VIP,36-45,Male,Rideshare,Hostel,267,55
2022-10-18 05:12:09.995013,RockNRebel Music Fest,General Admission,26-35,Non-binary,Public Transport,Camping,255,5
2022-10-19 05:12:09.995013,ElectroBeat Expo,Group Discount,Over 55,Prefer not to say,Rideshare,Stay with Friends/Family,71,254
2022-10-20 05:12:09.995013,Retro Rewind Concert,Group Discount,36-45,Male,Public Transport,Hotel,271,118
2022-10-21 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,46-55,Female,Public Transport,Camping,55,96
2022-10-22 05:12:09.995013,Retro Rewind Concert,General Admission,Over 55,Prefer not to say,Car,Airbnb,169,199
2022-10-23 05:12:09.995013,RockNRebel Music Fest,Group Discount,18-25,Male,Public Transport,Camping,239,374
2022-10-24 05:12:09.995013,Jazz & Jive Weekend,VIP,26-35,Prefer not to say,Rideshare,Camping,167,18
2022-10-25 05:12:09.995013,Cosmic Sound Festival,Group Discount,Under 18,Prefer not to say,Walk,Hotel,264,24
2022-10-26 05:12:09.995013,RockNRebel Music Fest,VIP,Over 55,Male,Bike,Hotel,296,209
2022-10-27 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,36-45,Female,Walk,Camping,286,114
2022-10-28 05:12:09.995013,Retro Rewind Concert,Backstage Pass,26-35,Prefer not to say,Public Transport,Airbnb,94,163
2022-10-29 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,36-45,Male,Bike,Hostel,164,389
2022-10-30 05:12:09.995013,RockNRebel Music Fest,General Admission,Under 18,Female,Car,Camping,223,69
2022-10-31 05:12:09.995013,Retro Rewind Concert,Group Discount,26-35,Non-binary,Walk,Stay with Friends/Family,279,375
2022-11-01 05:12:09.995013,ElectroBeat Expo,VIP,46-55,Prefer not to say,Rideshare,Hotel,165,232
2022-11-02 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,26-35,Female,Rideshare,Stay with Friends/Family,267,336
2022-11-03 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,Over 55,Prefer not to say,Car,Hotel,120,146
2022-11-04 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,36-45,Prefer not to say,Bike,Stay with Friends/Family,178,416
2022-11-05 05:12:09.995013,Retro Rewind Concert,General Admission,Under 18,Prefer not to say,Public Transport,Airbnb,68,237
2022-11-06 05:12:09.995013,Cosmic Sound Festival,Group Discount,36-45,Female,Walk,Hostel,162,303
2022-11-07 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,Over 55,Non-binary,Walk,Hotel,269,33
2022-11-08 05:12:09.995013,Retro Rewind Concert,Group Discount,46-55,Male,Walk,Hotel,117,359
2022-11-09 05:12:09.995013,ElectroBeat Expo,VIP,Under 18,Non-binary,Walk,Hostel,194,435
