Date,Day Of Week,Type Of Event,Location,Waste Collected (KG),Recycling Collected (KG),Compost Collected (KG),Water Usage (L),Power Consumption (kWh),Refill Stations Uses
10/14/2022 05:43:02 PM,Saturday,Indie Showcase,VIP Lounge,707,739,273,10298,5955,607
10/15/2022 05:43:02 PM,Sunday,Main Stage Performance,Chillout Zone,1121,718,259,10208,6071,588
10/16/2022 05:43:02 PM,Thursday,VIP Meet & Greet,Chillout Zone,1157,832,234,9708,5394,636
10/17/2022 05:43:02 PM,Wednesday,Main Stage Performance,Indie Arena,724,807,259,9763,5484,550
10/18/2022 05:43:02 PM,Thursday,DJ Set,Indie Arena,1262,760,254,11401,5318,614
10/19/2022 05:43:02 PM,Monday,DJ Set,Main Stage,1103,760,275,9744,5335,510
10/20/2022 05:43:02 PM,Thursday,Outdoor Cinema,VIP Lounge,1161,718,275,11078,5999,513
10/21/2022 05:43:02 PM,Thursday,Main Stage Performance,Chillout Zone,750,778,229,10072,5063,625
10/22/2022 05:43:02 PM,Sunday,Outdoor Cinema,DJ Tent,819,728,233,11283,5698,550
10/23/2022 05:43:02 PM,Saturday,Indie Showcase,DJ Tent,928,720,211,10221,5504,590
10/24/2022 05:43:02 PM,Saturday,Main Stage Performance,VIP Lounge,759,794,216,9748,5672,575
10/25/2022 05:43:02 PM,Friday,Outdoor Cinema,Chillout Zone,760,702,250,10785,6059,555
10/26/2022 05:43:02 PM,Thursday,VIP Meet & Greet,Indie Arena,1016,842,267,9999,5495,551
10/27/2022 05:43:02 PM,Wednesday,Outdoor Cinema,Chillout Zone,947,850,219,10241,6017,546
10/28/2022 05:43:02 PM,Thursday,Main Stage Performance,DJ Tent,967,826,243,10487,6019,530
10/29/2022 05:43:02 PM,Monday,Main Stage Performance,VIP Lounge,1131,711,254,10525,6065,570
10/30/2022 05:43:02 PM,Thursday,Indie Showcase,Chillout Zone,1053,846,273,10016,5821,621
10/31/2022 05:43:02 PM,Thursday,VIP Meet & Greet,DJ Tent,1023,847,244,11338,5374,596
11/01/2022 05:43:02 PM,Sunday,DJ Set,Main Stage,768,759,242,9691,5890,634
11/02/2022 05:43:02 PM,Sunday,VIP Meet & Greet,Main Stage,1273,704,268,10838,5327,531
11/03/2022 05:43:02 PM,Tuesday,Outdoor Cinema,Chillout Zone,939,717,249,10939,5994,511
11/04/2022 05:43:02 PM,Thursday,DJ Set,DJ Tent,1181,769,234,10790,5657,528
11/05/2022 05:43:02 PM,Monday,Outdoor Cinema,Chillout Zone,945,720,221,11164,5543,547
11/06/2022 05:43:02 PM,Tuesday,Main Stage Performance,DJ Tent,1207,719,272,11283,5897,554
